CODE,NAME
IN505,Intro to Systems Analysis
IN511,Programming 2
IN512,Web 1
IN515,Intro to Networks
IN501,Professional Practice 1
IN510,Programming 1
IN520,PC Maintenance
IN521,Maths for IT
IN603,Project Management
IN602,Software Engineering
IN612,Web 2 - Programming
IN628,Programming 4
IN614,Multimedia Development
IN617,Linux
IN610,Programming 3
IN621,Robotics
IN627,Quality Assurance and Software Testing
IN615,Scaling Networks
IN726,Data Science and Machine Intelligence
IN711,Algorithms and Data Structures
IN723,Advanced Networking
IN720,Virtualisation
IN722,Next Generation Networked Hardware
IN700,Project
